Тростниково-зеленый;71,24,44;108,113,86;4,0,24,56;6C7156
Светло-сине-серый;206,38,69;108,146,175;38,17,0,31;6C92AF
Красно-сиреневый;323,42,43;109,63,91;0,42,17,57;6D3F5B
Бежево-серый;42,25,43;109,101,82;0,7,25,57;6D6552
Лиственный зеленый Крайола;138,37,68;109,174,129;37,0,26,32;6DAE81
Баклажановый Крайола;329,26,43;110,81,96;0,26,13,57;6E5160
Глубокий пурпурно-красный;331,100,44;111,0,53;0,100,52,56;6F0035
Оливково-коричневый;33,64,44;111,79,40;0,29,64,56;6F4F28
Византия;311,63,44;112,41,99;0,63,12,56;702963
Сепия (каракатица);30,82,44;112,66,20;0,41,82,56;704214
Перламутрово-золотой;31,53,44;112,83,53;0,26,53,56;705335
Серый шифер,аспидно-серый;210,22,56;112,128,144;22,11,0,44;708090
Золотисто-каштановый;7,66,44;113,47,38;0,58,66,56;712F26
Сырая умбра;31,69,44;113,75,35;0,34,69,56;714B23
Папоротник Крайола;126,40,74;113,188,120;40,0,36,26;71BC78
Перламутрово-рубиновый;351,82,45;114,20,34;0,82,70,55;721422
Серовато-пурпурный;341,28,45;114,82,92;0,28,19,55;72525C
Глиняный коричневый;24,70,45;115,66,34;0,43,70,55;734222
Натуральная умбра;35,84,45;115,74,18;0,36,84,55;734A12
Серобуромалиновый;280,39,52;115,81,132;13,39,0,48;735184
Сине-фиолетовый Крайола;249,46,74;115,102,189;39,46,0,26;7366BD
Пурпурное сердце;262,67,78;116,66,200;42,67,0,22;7442C8
Пурпурно-красный;354,82,46;117,21,30;0,82,74,54;75151E
Насыщенный коричневый;20,84,46;117,51,19;0,56,84,54;753313
Красновато-коричневый (блошиный);6,26,46;117,90,87;0,23,26,54;755A57
Бледно-коричневый;27,38,46;117,92,72;0,21,38,54;755C48
Блестящий фиолетовый;264,40,60;117,93,154;24,40,0,40;755D9A
Перламутровый медный;15,66,46;118,60,40;0,49,66,54;763C28
Кричащий зеленый;122,54,100;118,255,122;54,0,52,0;76FF7A
Светлый аспидно-серый;210,22,60;119,136,153;22,11,0,40;778899
Пастельно-зеленый;120,46,87;119,221,119;46,0,46,13;77DD77
Бирюзово-голубой Крайола;185,48,91;119,221,231;48,4,0,9;77DDE7
Коричнево-красный;4,79,47;120,31,25;0,74,79,53;781F19
Королевский пурпурный Крайола;267,52,66;120,81,169;29,52,0,34;7851A9
Серовато-желтовато-коричневый;26,47,47;120,88,64;0,27,47,53;785840
Серая белка;199,14,55;120,133,139;14,4,0,45;78858B
Хаки,защитный;91,20,53;120,134,107;10,0,20,47;78866B
Аквамариновый Крайола;184,47,89;120,219,226;47,3,0,11;78DBE2
Известковая глина;9,51,47;121,68,59;0,44,51,53;79443B
Бежево-коричневый;24,50,47;121,85,61;0,30,50,53;79553D
Сизый;207,37,76;121,160,193;37,17,0,24;79A0C1
Зеленовато-серый;48,16,48;122,118,102;0,3,16,52;7A7666
Глубокий красный;346,100,48;123,0,28;0,100,77,52;7B001C
Коричный;31,100,48;123,63,0;0,49,100,52;7B3F00
Умеренный аспидно-синий;249,56,93;123,104,238;48,56,0,7;7B68EE
Лягушки в обмороке;120,15,57;123,145,123;15,0,15,43;7B917B
Спаржа;92,43,63;123,160,91;23,0,43,37;7BA05B
Зеленая лужайка;90,100,99;124,252,0;51,0,100,1;7CFC00
Серовато-красновато-пурпурный;340,38,49;125,77,93;0,38,26,51;7D4D5D
Умеренный желтовато-коричневый;27,64,49;125,81,45;0,35,64,51;7D512D
Синевато-серый;26,13,49;125,116,109;0,7,13,51;7D746D
Пыльно-серый;120,2,50;125,127,125;2,0,2,50;7D7F7D
Цементно-серый (цементный);82,14,52;125,132,113;5,0,14,48;7D8471
Электрик;183,51,100;125,249,255;51,2,0,0;7DF9FF
Яркий красновато-пурпурный;318,100,49;126,0,89;0,100,29,51;7E0059
Насыщенный красновато-коричневый;6,90,50;127,24,13;0,81,90,50;7F180D
Умеренный пурпурный;316,43,50;127,72,112;0,43,12,50;7F4870
Платиново-серый;340,7,50;127,118,121;0,7,5,50;7F7679
Насыщенный желто-зеленый;68,83,56;127,143,24;11,0,83,44;7F8F18
Пастельно-бирюзовый;180,30,71;127,181,181;30,0,0,29;7FB5B5
Шартрез,ядовито-зеленый;90,100,100;127,255,0;50,0,100,0;7FFF00
Аквамариновый;160,50,100;127,255,212;50,0,17,0;7FFFD4
Коричнево-малиновый;0,100,50;128,0,0;0,100,100,50;800000
Пурпурный;300,100,50;128,0,128;0,100,0,50;800080
Фиолетово-сизый;270,100,100;128,0,255;50,100,0,0;8000FF
Фалунский красный;0,81,50;128,24,24;0,81,81,50;801818
Насыщенный;310,52,50;128,62,117;0,52,9,50;803E75
Красно-желтовато-коричневый;26,79,50;128,70,27;0,45,79,50;80461B
Оливковый;60,100,50;128,128,0;0,0,100,50;808000
Серый;0,0,50;128,128,128;0,0,0,50;808080
Голубой Крайола;190,46,92;128,218,235;46,7,0,8;80DAEB
Средний серый;22,21,51;129,112,102;0,13,21,49;817066
Зелено-коричневый;43,60,51;130,108,52;0,17,60,49;826C34
